Timestamp,Gender,Age? (Years),Where do you live? (District),What is your highest educational level? ,What is your occupation? ,Monthly income (in thousands) ,What type of bank account do you have?,What is the type of bank you use for  mobile banking application,How long have you been using the mobile banking application?,What are the purposes that you use the mobile banking app? (Select one or many),How did you get to know about mobile banking? ,Do you think a mobile banking app would help you for day to day life?,Do you think mobile banking is safe?,What do you think about the bill payment service offered by mobile banking?,What do you think about the Money transfer facility offered by the Mobile Banking system at any bank? ,Can you satisfy with the service charges related to mobile banking application? ,"According to your knowledge, which banks offer better mobile banking applications?",Would you like to recommend mobile banking to others?
11/3/2020 13:13,Male,19 -30,Kurunegala,A/L,Private Sector,"51,000 - 100,000",Both,Private,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Good,Good,Neutral,No idea,Yes
11/3/2020 13:16,Male,19 -30,Kegalle,Graduate,Private Sector,"101,000 - 150,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To get account balance update",From Bank,Useful,Neutral,Good,Good,No,No idea,Yes
11/3/2020 13:19,Male,19 -30,Gampaha,Postgraduate,Self-employed,"51,000 - 100,000",Savings account,Private,Between 5 months to one year,To Transfer money,From Bank,Useful,Neutral,Average,Average,yes,Private Banks,Yes
11/3/2020 13:19,Female,19 -30,Kandy,Graduate,Private Sector,"26,000 - 50,000",Savings account,Both,Between 5 months to one year,"To Transfer money, To pay bills, To get account balance update",From Internet,Useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 13:28,Female,19 -30,Gampaha,Graduate,Private Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills",From Bank,Useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 13:41,Male,19 -30,Kurunegala,Diploma,Private Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Neutral,Average,Average,yes,No idea,Yes
11/3/2020 13:47,Male,19 -30,Colombo,A/L,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,No idea,Yes
11/3/2020 13:48,Male,19 -30,Kalutara,Diploma,Student,Not applicable,Savings account,Private,More than one year,To buy goods or services,From Bank,Strongly useful,Yes,Average,Good,No,No idea,Yes
11/3/2020 13:54,Male,19 -30,Kalutara,Postgraduate,Student,Not applicable,Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Average,Good,No,Private Banks,Yes
11/3/2020 13:56,Female,19 -30,Gampaha,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Average,Good,yes,No idea,Yes
11/3/2020 13:56,Female,19 -30,Gampaha,Degree,Student,Not applicable,Savings account,Government,More than one year,"To buy goods or services, other",From Bank,Useful,Neutral,Average,Average,No,Private Banks,Yes
11/3/2020 13:58,Male,19 -30,Kandy,Degree,Private Sector,"Less than or equal  25,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 14:04,Female,Above 50,Kalutara,Graduate,Public Sector,"26,000 - 50,000",Savings account,Government,Less than 5 months,To pay bills,From Bank,Useful,Neutral,Good,Average,No,No idea,Yes
11/3/2020 14:16,Female,Above 50,Kurunegala,Postgraduate,Public Sector,"101,000 - 150,000",Savings account,Government,More than one year,"To pay bills, To buy goods or services, To get account balance update",From a Friend,Useful,Yes,Good,Average,yes,No idea,Yes
11/3/2020 14:23,Female,19 -30,Kalutara,Degree,Private Sector,Not applicable,Savings account,Both,Less than 5 months,"To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Average,Average,Neutral,No idea,Yes
11/3/2020 14:28,Female,19 -30,Anuradhapura,Graduate,Private Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Strongly useful,Neutral,Good,Good,yes,Government Banks,Yes
11/3/2020 14:32,Female,19 -30,Ratnapura,Degree,Student,Not applicable,Savings account,Both,Less than 5 months,"To Transfer money, To pay bills, To get account balance update, other",From Bank,Strongly useful,Neutral,Good,Good,yes,No idea,Yes
11/3/2020 14:35,Female,19 -30,Galle,Graduate,Self-employed,"Less than or equal  25,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Useful,Neutral,Good,Average,Neutral,Private Banks,Yes
11/3/2020 14:37,Male,19 -30,Colombo,Diploma,Student,Not applicable,Savings account,Both,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 14:47,Male,19 -30,Colombo,Graduate,Private Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Useful,Neutral,Good,Good,No,No idea,Yes
11/3/2020 15:33,Female,19 -30,Gampaha,Postgraduate,Private Sector,"26,000 - 50,000",Both,Private,Between 5 months to one year,"To Transfer money, To get account balance update",From Bank,Neutral,Yes,Good,Good,No,Private Banks,Yes
11/3/2020 15:49,Female,19 -30,Monaragala,Degree,Student,Not applicable,Savings account,Government,Less than 5 months,To Transfer money,From Bank,Strongly useful,Yes,Average,Good,Neutral,No idea,Yes
11/3/2020 15:56,Male,19 -30,Monaragala,Degree,Student,Not applicable,Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,No idea,Yes
11/3/2020 15:59,Female,19 -30,Monaragala,Degree,Student,Not applicable,Both,Government,More than one year,"To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 16:03,Male,19 -30,Monaragala,A/L,Public Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills",From Internet,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 16:05,Male,19 -30,Monaragala,A/L,Public Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills",From Internet,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 16:20,Male,31 - 40,Gampaha,Graduate,Private Sector,"26,000 - 50,000",Both,Both,Less than 5 months,"To pay bills, To buy goods or services",From a Friend,Useful,Neutral,Average,Average,Neutral,Private Banks,Yes
11/3/2020 16:51,Male,41 - 50,Colombo,Postgraduate,Private Sector,"More than 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To get account balance update",Other,Strongly useful,Neutral,Good,Good,yes,Private Banks,Yes
11/3/2020 17:01,Male,19 -30,Kurunegala,Graduate,Public Sector,"51,000 - 100,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Useful,Yes,Average,Good,Neutral,Government Banks,Yes
11/3/2020 17:19,Female,19 -30,Colombo,Graduate,Private Sector,Not applicable,Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Useful,Neutral,Average,Average,No,Private Banks,Yes
11/3/2020 17:28,Male,19 -30,Gampaha,Graduate,Private Sector,"26,000 - 50,000",Savings account,Both,More than one year,"To pay bills, To buy goods or services",From Bank,Useful,Yes,Good,Average,Neutral,Private Banks,Yes
11/3/2020 17:50,Female,19 -30,Kalutara,Degree,Student,Not applicable,Savings account,Both,Less than 5 months,To buy goods or services,From a Friend,Strongly useful,Yes,Good,Good,No,No idea,Yes
11/3/2020 17:53,Female,19 -30,Matara,Degree,Student,Not applicable,Savings account,Government,Less than 5 months,"To Transfer money, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,No,Government Banks,Yes
11/3/2020 18:40,Female,19 -30,Gampaha,Graduate,Private Sector,"101,000 - 150,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 19:26,Female,19 -30,Matara,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,Less than 5 months,"To Transfer money, To get account balance update",From Internet,Strongly useful,Yes,Average,Good,Neutral,Government Banks,Yes
11/3/2020 19:41,Male,31 - 40,Colombo,Graduate,Private Sector,"More than 150,000",Both,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 19:55,Female,19 -30,Gampaha,Graduate,Public Sector,"26,000 - 50,000",Current account,Government,Less than 5 months,"To Transfer money, To buy goods or services, To get account balance update",From Internet,Useful,Yes,Good,Good,No,Private Banks,Yes
11/3/2020 20:00,Male,19 -30,Kandy,Degree,Private Sector,"101,000 - 150,000",Savings account,Private,More than one year,"To Transfer money, To get account balance update",From Bank,Useful,Neutral,Average,Good,yes,Private Banks,Yes
11/3/2020 20:05,Female,19 -30,Gampaha,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills",From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 20:15,Female,19 -30,Kalutara,Degree,Student,Not applicable,Savings account,Both,More than one year,"To pay bills, To buy goods or services",From a Friend,Useful,Neutral,Average,Average,No,Private Banks,Yes
11/3/2020 20:21,Male,19 -30,Colombo,Degree,Private Sector,Not applicable,Savings account,Private,Between 5 months to one year,To Transfer money,From Bank,Useful,Yes,Good,Average,No,No idea,Yes
11/3/2020 20:24,Female,19 -30,Kurunegala,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Private,Less than 5 months,To pay bills,From a Friend,Strongly useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 20:24,Female,19 -30,Kegalle,Degree,Student,Not applicable,Savings account,Government,Between 5 months to one year,"To pay bills, To buy goods or services, To get account balance update",From Bank,Useful,Neutral,Average,Average,Neutral,No idea,Yes
11/3/2020 20:25,Female,19 -30,Gampaha,Graduate,Public Sector,"26,000 - 50,000",Savings account,Government,Between 5 months to one year,To get account balance update,From Bank,Neutral,Neutral,Average,Poor,No,Private Banks,Yes
11/3/2020 20:28,Male,19 -30,Gampaha,Graduate,Private Sector,"101,000 - 150,000",Savings account,Both,More than one year,To get account balance update,From Bank,Useful,Yes,Average,Average,yes,Private Banks,Yes
11/3/2020 20:30,Female,19 -30,Gampaha,A/L,Student,Not applicable,Savings account,Private,Less than 5 months,other,From a Friend,Neutral,Neutral,Average,Average,Neutral,No idea,Yes
11/3/2020 20:31,Female,19 -30,Kegalle,Diploma,Public Sector,"26,000 - 50,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Useful,Yes,Average,Average,No,Private Banks,Yes
11/3/2020 20:31,Female,19 -30,Kurunegala,Degree,Public Sector,"Less than or equal  25,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Bank,Useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 20:33,Male,19 -30,Gampaha,Graduate,Other,Not applicable,Savings account,Both,More than one year,"To pay bills, To buy goods or services, To get account balance update",From Bank,Useful,Yes,Average,Average,Neutral,Private Banks,Yes
11/3/2020 20:45,Male,19 -30,Kalutara,Postgraduate,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,"To Transfer money, To get account balance update",From Bank,Strongly useful,Yes,Poor,Good,yes,Private Banks,Yes
11/3/2020 20:53,Male,19 -30,Kalutara,Diploma,Self-employed,"Less than or equal  25,000",Savings account,Private,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Average,No,No idea,Yes
11/3/2020 21:08,Male,19 -30,Colombo,A/L,Private Sector,"26,000 - 50,000",Current account,Private,Between 5 months to one year,"To Transfer money, To pay bills, To get account balance update",Other,Strongly useful,Yes,Average,Average,yes,Private Banks,Yes
11/3/2020 21:08,Male,31 - 40,Kurunegala,Graduate,Private Sector,"More than 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Average,Good,yes,Private Banks,Yes
11/3/2020 21:12,Male,31 - 40,Colombo,Graduate,Private Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To pay bills, To buy goods or services, To get account balance update",From Bank,Useful,Neutral,Good,Average,No,Government Banks,Yes
11/3/2020 21:13,Female,19 -30,Puttalam,A/L,Private Sector,"51,000 - 100,000",Savings account,Private,More than one year,To pay bills,From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 21:13,Male,19 -30,Kurunegala,Graduate,Private Sector,Not applicable,Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Strongly useful,Neutral,Good,Average,No,Private Banks,Yes
11/3/2020 21:24,Female,19 -30,Matara,Graduate,Public Sector,"26,000 - 50,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Useful,Yes,Good,Good,yes,No idea,Yes
11/3/2020 21:25,Female,19 -30,Puttalam,Postgraduate,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,To pay bills,From Bank,Useful,No,Average,Average,No,Government Banks,No
11/3/2020 21:33,Male,19 -30,Kurunegala,Degree,Self-employed,"101,000 - 150,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update, other",From Bank,Useful,Neutral,Average,Average,Neutral,Private Banks,Yes
11/3/2020 21:34,Male,19 -30,Kurunegala,Degree,Self-employed,"101,000 - 150,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update, other",From Bank,Useful,Neutral,Average,Average,Neutral,Private Banks,Yes
11/3/2020 22:06,Female,19 -30,Colombo,Diploma,Self-employed,"More than 150,000",Both,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Average,Good,Neutral,Private Banks,Yes
11/3/2020 22:25,Female,19 -30,Colombo,Diploma,Public Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Good,Good,No,Private Banks,Yes
11/3/2020 22:27,Male,19 -30,Gampaha,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Strongly useful,Yes,Good,Good,Neutral,No idea,Yes
11/3/2020 23:06,Male,19 -30,Nuwara Eliya,Degree,Private Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services",From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 23:20,Female,19 -30,Kurunegala,Degree,Student,Not applicable,Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/4/2020 1:30,Female,19 -30,Kalutara,Graduate,Self-employed,"26,000 - 50,000",Both,Both,Less than 5 months,To get account balance update,From Bank,Useful,Neutral,Good,Average,Neutral,No idea,Yes
11/4/2020 8:33,Male,19 -30,Colombo,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services",From Bank,Useful,Yes,Average,Good,Neutral,Private Banks,Yes
11/4/2020 8:58,Male,19 -30,Kalutara,Diploma,Student,"Less than or equal  25,000",Savings account,Both,Less than 5 months,To get account balance update,Other,Neutral,Neutral,Average,Average,Neutral,No idea,Yes
11/4/2020 9:32,Female,19 -30,Kurunegala,Diploma,Public Sector,"26,000 - 50,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/4/2020 9:50,Female,19 -30,Kurunegala,Graduate,Public Sector,"26,000 - 50,000",Both,Both,Less than 5 months,To pay bills,From Bank,Useful,Yes,Average,Average,yes,Government Banks,Yes
11/4/2020 12:29,Female,19 -30,Gampaha,Postgraduate,Private Sector,"101,000 - 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Good,Average,yes,Private Banks,Yes
11/4/2020 15:08,Female,19 -30,Colombo,Graduate,Public Sector,"26,000 - 50,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/4/2020 18:23,Male,31 - 40,Colombo,Graduate,Private Sector,"More than 150,000",Both,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/5/2020 7:42,Female,19 -30,Gampaha,Graduate,Public Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,No idea,Yes
11/5/2020 13:25,Male,19 -30,Puttalam,A/L,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Useful,Yes,Average,Good,Neutral,Private Banks,Yes
11/5/2020 13:25,Male,19 -30,Puttalam,A/L,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Useful,Yes,Average,Good,Neutral,Private Banks,Yes
11/5/2020 17:46,Male,19 -30,Kurunegala,Diploma,Private Sector,"26,000 - 50,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",From Internet,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/5/2020 19:18,Female,19 -30,Kurunegala,Graduate,Public Sector,"101,000 - 150,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Good,Good,Neutral,Government Banks,Yes
11/6/2020 0:58,Male,19 -30,Kurunegala,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,Less than 5 months,"To Transfer money, To pay bills",From Bank,Useful,Neutral,Average,Average,yes,Private Banks,Yes
11/6/2020 10:51,Male,19 -30,Kurunegala,Degree,Private Sector,"51,000 - 100,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Yes,Good,Average,No,Private Banks,Yes
11/7/2020 12:49,Male,Less than or equal 18,Kurunegala,Degree,Self-employed,"26,000 - 50,000",Savings account,Private,Between 5 months to one year,"To Transfer money, To pay bills",From Internet,Strongly useful,Neutral,Good,Good,yes,Private Banks,Yes
11/7/2020 13:05,Female,19 -30,Matale,Graduate,Public Sector,"Less than or equal  25,000",Current account,Both,Less than 5 months,To pay bills,From Bank,Useful,Yes,Good,Average,Neutral,Private Banks,Yes
11/7/2020 13:52,Male,19 -30,Kegalle,Graduate,Private Sector,"51,000 - 100,000",Both,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Bank,Strongly useful,Yes,Good,Average,No,Private Banks,Yes
11/7/2020 16:56,Female,19 -30,Matale,Graduate,Public Sector,"26,000 - 50,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Average,Average,Neutral,Government Banks,Yes
11/8/2020 7:54,Female,19 -30,Kurunegala,Graduate,Student,Not applicable,Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Average,Average,Neutral,Private Banks,Yes
11/19/2020 10:53,Female,19 -30,Gampaha,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,More than one year,To get account balance update,From a Friend,Useful,Yes,Average,Average,yes,Private Banks,Yes
11/19/2020 11:00,Female,19 -30,Anuradhapura,Postgraduate,Private Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Yes,Good,Good,yes,No idea,Yes
11/27/2020 13:54,Female,19 -30,Kurunegala,Graduate,Public Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From a Friend,Strongly useful,Yes,Good,Good,No,Private Banks,Yes
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
